Fecha;IMAE
1/7/2015;109,4213024
1/8/2015;109,0354919
1/9/2015;107,477367
1/10/2015;110,7743745
1/11/2015;114,11411
1/12/2015;112,6317096
1/1/2016;113,2109571
1/2/2016;114,0929052
1/3/2016;114,964703
1/4/2016;109,8947431
1/5/2016;113,0644842
1/6/2016;111,7949491
1/7/2016;112,3517866
1/8/2016;111,3935193
1/9/2016;112,2561524
1/10/2016;115,2807294
1/11/2016;120,6721257
1/12/2016;118,1556712
1/1/2017;116,6061669
1/2/2017;116,3737496
1/3/2017;120,7335485
1/4/2017;112,4407871
1/5/2017;117,1992578
1/6/2017;117,9750931
1/7/2017;115,3223285
1/8/2017;113,893442
1/9/2017;113,9525956
1/10/2017;119,1181017
1/11/2017;123,6842368
1/12/2017;122,3570112
1/1/2018;120,5620728
1/2/2018;118,9109988
1/3/2018;124,3391846
1/4/2018;117,1962296
1/5/2018;122,6704728
1/6/2018;121,5685068
1/7/2018;119,8155123
1/8/2018;118,1148165
1/9/2018;115,390871
1/10/2018;121,6697452
1/11/2018;125,434169
1/12/2018;123,7593622
1/1/2019;123,1953091
1/2/2019;122,4099823
1/3/2019;126,9511482
1/4/2019;118,3625341
1/5/2019;122,4459949
1/6/2019;121,9379049
